episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,8,1.5,56444.26586637169,8523.062987378473,11470.874384384137,0.5,0.21259909781463468,0.10629954890731734,1,1,0.0,53.8125,2.0,2.0,2.0,2.0,2.0,2.0,53.8125,224,-295.45651890814327,
1,20008,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,8,1.5,22077.553482406867,3707.8732749404903,6828.537473070022,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-146.28972704742998,
2,20009,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,4,3.0,37049.57707019312,14931.277583042123,23745.243241344506,0.16666666666666663,0.3238903369197745,0.05398172281996241,3,3,0.0,440.671875,1545.0426953834854,1545.0426953834854,515.0142317944951,515.0142317944951,515.0142317944951,515.0142317944951,146.890625,112,-178.28975615352377,
3,20010,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,5,2.4,47046.192447988244,16859.939018885223,27700.467224172076,0.6666666666666667,0.2550684630486635,0.1700456420324423,6,6,0.6666666666666666,1268.6953125,54.332879344427056,54.332879344427056,9.055479890737843,9.055479890737843,9.055479890737843,9.055479890737843,211.44921875,140,-220.3200085368976,
4,20011,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,5,2.4,45879.33020300935,12347.806279661769,18590.33031292442,0.5833333333333333,0.26155569287741887,0.15257415417849435,5,5,0.6,1050.8203125,10.0,10.0,2.0,2.0,2.0,2.0,210.1640625,140,-215.05841687196198,
5,20012,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,6,2.0,33534.0735787931,8648.130850587537,14522.700743845213,0.25,0.3578449833064356,0.0894612458266089,1,1,0.0,58.40625,209.34704855158026,209.34704855158026,209.34704855158026,209.34704855158026,209.34704855158026,209.34704855158026,58.40625,168,-179.64101229365366,
6,20013,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,4,3.0,41399.80973404544,16166.575599815675,24496.192913700663,0.16666666666666663,0.289856404584674,0.04830940076411233,3,3,0.6666666666666666,495.9609375,6.0,6.0,2.0,2.0,2.0,2.0,165.3203125,112,-187.32132204218368,
7,20014,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,4,3.0,47413.69925674177,16975.920032777653,34942.29473967922,0.41666666666666663,0.253091410037864,0.10545475418244334,6,6,0.5,939.75,222.23528139544123,222.23528139544123,37.03921356590687,37.03921356590687,37.03921356590687,37.03921356590687,156.625,112,-215.9845656783338,
8,20015,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,8,1.5,45172.54924653008,7534.607560678868,14708.848337963776,0.5833333333333333,0.26564805839293604,0.15496136739587935,2,2,0.5,514.9921875,699.6279895758712,699.6279895758712,349.8139947879356,349.8139947879356,349.8139947879356,349.8139947879356,257.49609375,224,-215.12211914793477,
9,20016,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,4,3.0,50117.58497349844,17108.937205659044,26700.44329427792,0.41666666666666663,0.23943691633077396,0.09976538180448916,4,4,0.5,838.5234375,903.7083377049995,903.7083377049995,225.92708442624988,225.92708442624988,225.92708442624988,225.92708442624988,209.630859375,112,-225.06644902476367,
10,20017,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,8,1.5,42229.26469057795,8471.01582233848,15835.003303787169,0.8333333333333334,0.28416312924050036,0.23680260770041697,2,2,1.0,476.4375,4.0,4.0,2.0,2.0,2.0,2.0,238.21875,224,-215.42439084058293,
11,20018,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,7,1.7142857142857142,40271.0367696241,11955.32105316883,24091.24052208289,0.5,0.297980905449433,0.1489904527247165,3,3,1.0,609.0,6.0,6.0,2.0,2.0,2.0,2.0,203.0,196,-237.76929461201567,
12,20019,0.4,node_dp,driving,prefetch,0.1,12,0,1.0,6,2.0,47221.274013104616,10755.408197795823,23103.88657987434,0.5,0.2541227497731175,0.12706137488655875,3,2,1.0,607.5234375,6.0,6.0,2.0,3.0,2.0,3.0,202.5078125,168,-259.5195808552069,
