episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,47502.9740290008,1224.2712021752584,2454.925781580152,0.9166666666666666,0.2526157623872969,0.2315644488550221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-94.55210170585433,
1,20008,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,29893.694775273936,10637.82298693783,15784.513097878908,0.1666666666666666,0.4014224434353159,0.0669037405725526,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-177.25177318913634,
2,20009,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,23734.23247831121,2230.8710018193574,3812.905291959381,0.4166666666666666,0.5055988227538357,0.2106661761474315,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-148.4875824313453,
3,20010,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,28354.367923576658,3238.601202824335,5588.132820854912,0.6666666666666667,0.4232152179284518,0.2821434786189679,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-174.32027542053115,
4,20011,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,28566.431715939627,1555.8687029034727,3573.1879057723804,0.75,0.4200734666242611,0.3150550999681958,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60,-126.33928218632045,
5,20012,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,24158.531812601846,2789.559576147696,5684.025875975958,0.5833333333333333,0.4967189270061695,0.2897527074202655,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60,-150.1050227301812,
6,20013,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,22903.311001052345,2845.790885812817,4898.116637215484,0.25,0.523941713032174,0.1309854282580435,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60,-125.63282464854004,
7,20014,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,25421.774329995173,4417.721664572756,8188.031168100812,0.3333333333333333,0.472036288428585,0.157345429476195,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-170.9948337286777,
8,20015,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,32947.84942511864,5965.197816514768,10299.349333311386,0.3333333333333333,0.3642119352060499,0.1214039784020166,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-190.6873374202648,
9,20016,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,36283.31673918459,3807.443096452621,6864.845145746437,0.6666666666666667,0.3307305141439966,0.2204870094293311,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-155.61479440138362,
10,20017,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,38138.61279925308,2929.317026044309,5030.98465852409,0.5833333333333333,0.3146417533108339,0.1835410227646531,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-144.43664259646454,
11,20018,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,22105.90430927625,1764.3334272552754,3421.9008028287444,0.6666666666666667,0.5428413980315867,0.3618942653543912,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-101.69075400151304,
12,20019,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,29541.84710011239,2594.227666152738,3744.710294476261,0.5,0.406203442842758,0.203101721421379,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-132.38279621082555,
13,20020,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,39269.85697810749,1734.004303505787,4366.442747137071,0.5833333333333333,0.3055778890839828,0.1782537686323233,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-148.9455697986805,
14,20021,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,33936.77175680761,1731.4860551813672,3791.040688013386,0.5833333333333333,0.3535987478712626,0.2062659362582365,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-108.23763908273928,
15,20022,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,35064.16746709972,8193.485924295861,14305.94850267145,0.25,0.3422297138883863,0.0855574284720965,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-197.0419612046047,
16,20023,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,21116.651876838103,5969.561577674154,9256.26916271414,0.25,0.568271905508006,0.1420679763770015,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-151.51503551190393,
17,20024,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,34714.21754998552,10907.971178859842,16465.060040895827,0.1666666666666666,0.3456796911156364,0.057613281852606,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-222.74786828460788,
18,20025,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,32242.647564657465,5512.164625681053,9696.546773193286,0.0833333333333333,0.3721778732945525,0.031014822774546,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-205.43105955177325,
19,20026,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,51676.149463276655,6512.698821948773,20252.11604622841,0.4166666666666666,0.2322154441581938,0.0967564350659141,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-253.3848754732649,
20,20027,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,27311.46602110217,2327.395035855266,4476.400996728449,0.5,0.4393759013422501,0.219687950671125,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-111.2781132214104,
21,20028,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,39686.54946294577,5974.1656016923,19352.233056379264,0.25,0.3023694466359204,0.0755923616589801,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-234.0931549743877,
22,20029,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,88318.73549070641,47635.60387934934,57807.830299280686,0.0833333333333333,0.1358715105388112,0.0113226258782342,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-508.9793364034398,
23,20030,0.4,petals_adapted,0.0,stationary,keep,0.1,12,0,1.0,12,1.0,41576.55668490809,7033.659471428068,12477.41586354929,0.1666666666666666,0.2886241900921028,0.0481040316820171,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-179.01067159540978,
