method,arrival_rate_rps,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mean_batch_size
NoBatch-LB,0.1,2447.270834891773,5382.098873620561,0.7233333333333333,0.1184485412059346,0.0859338439455841,1.0
Fixed4-LB,0.1,2412.039158360999,5360.3545840501165,0.7266666666666667,0.118501771336551,0.0863049937661336,1.034848484848485
SeqGreedy-LB,0.1,2407.3019721611117,5331.438926060138,0.7258333333333333,0.118501771336551,0.0862074369834425,1.0306060606060603
LECU-RBA (adapted),0.1,3782.83333160584,8451.110865605728,0.4958333333333333,0.1167490782347887,0.0572049780910849,1.0575064935064935
DyBAP-Adapted,0.1,3372.5568826883136,8109.953111147373,0.6041666666666666,0.1177615804595067,0.0716590403149897,1.0191515151515151
Ours w/o DDQN,0.1,2412.74772548756,5368.0913850087245,0.7266666666666667,0.118501771336551,0.0863049937661336,1.0337575757575757
Full,0.1,2250.9502163381308,5002.958162542382,0.76,0.118674571369984,0.0906839417137291,1.0301212121212122
NoBatch-LB,0.2,3002.047388315367,6328.011973176826,0.6216666666666666,0.2292117504639231,0.1414110706036244,1.0
Fixed4-LB,0.2,2772.668506302098,5973.304916780813,0.6391666666666667,0.2305094195055645,0.1464098036004824,1.1013766233766231
SeqGreedy-LB,0.2,2777.948874825402,6000.946498960983,0.6375,0.2304653135658843,0.1458663473480625,1.0872034632034633
LECU-RBA (adapted),0.2,4592.924468514215,9691.2086713033,0.4133333333333333,0.2207908927388274,0.0907475082273118,1.1954978354978354
DyBAP-Adapted,0.2,4465.528966284739,9423.45074928793,0.5158333333333333,0.2235732823041772,0.1178798891341793,1.074848484848485
Ours w/o DDQN,0.2,2771.644285205111,6007.143714420792,0.64,0.230546993027269,0.1468718028662988,1.0997705627705627
Full,0.2,2599.5850208671022,5722.026491309918,0.6866666666666668,0.2309896260911972,0.1580890141764926,1.0946709956709957
NoBatch-LB,0.4,4634.488460400007,8324.215781824349,0.4483333333333333,0.3912260645275557,0.1782499252278441,1.0
Fixed4-LB,0.4,3662.174019172443,6997.658257338187,0.4866666666666666,0.4198322387822594,0.2027014347337287,1.37934632034632
SeqGreedy-LB,0.4,3604.4937950993217,7074.732550405869,0.4916666666666666,0.4185052475690408,0.2040937613385767,1.3317402597402597
LECU-RBA (adapted),0.4,6066.502177767127,11995.997676512774,0.2916666666666666,0.3693906814577129,0.1120154143786887,1.589090909090909
DyBAP-Adapted,0.4,6415.589412897859,11558.396416139243,0.365,0.3760332604783771,0.1470359730139484,1.2279047619047618
Ours w/o DDQN,0.4,3539.5025750031964,7007.177430389129,0.4933333333333333,0.4206085109599279,0.2056972453412752,1.3612034632034633
Full,0.4,3282.584271940348,6684.844760386009,0.5525,0.4240964349827701,0.2335510800230916,1.304190476190476
NoBatch-LB,0.6,6174.548205895466,10548.91004139684,0.3416666666666666,0.4713827434802023,0.1712942388239429,1.0
Fixed4-LB,0.6,4576.46764869708,8101.585192004496,0.3941666666666666,0.5436815951450027,0.2183152133550903,1.6680735930735928
SeqGreedy-LB,0.6,4404.971909970622,8130.406038040824,0.4016666666666666,0.5470655961846239,0.2228378103217554,1.6447445887445886
LECU-RBA (adapted),0.6,7124.651074747013,13252.575894770598,0.2191666666666666,0.4591968846382206,0.1080592751421583,1.958212121212121
DyBAP-Adapted,0.6,7707.373498670171,13449.978541817452,0.2891666666666666,0.4641261290651065,0.1495623789164779,1.3496103896103897
Ours w/o DDQN,0.6,4269.239993761626,8022.442724084277,0.405,0.5482231385439867,0.2249097319526553,1.6599783549783549
Full,0.6,3963.2624965943255,7531.022197028596,0.4541666666666666,0.5637014437029647,0.2594787625804058,1.5999350649350648
