episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,56444.26586637169,6780.364876723838,11174.782402813278,0.75,0.21259909781463468,0.159449323360976,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,252,-270.4918383905704,
1,20008,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,5,2.4,34496.87936184564,10646.932737761688,18144.814863746946,0.08333333333333337,0.3478575518129991,0.028988129317749925,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-166.10207194199043,
2,20009,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,5,2.4,38703.803058671314,10538.980402188028,20299.720137393342,0.33333333333333337,0.3100470509786631,0.10334901699288769,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-158.08145098561454,
3,20010,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,5,2.4,47865.647746598916,16937.476185923584,28156.03422965476,0.6666666666666667,0.2507017154249763,0.1671344769499842,2,2,0.0,0.0,1132.4288443286569,0.0,566.2144221643284,566.2144221643284,0.0,0.0,0.0,1,0,140,-214.63218042367487,
4,20011,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,5,2.4,47875.73013301246,13253.401754672095,22548.554820295278,0.5,0.2506489189127888,0.1253244594563944,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-217.40221310469343,
5,20012,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,4,3.0,69094.76319372549,27433.077992665658,47753.38178972131,0.0,0.17367452242878112,0.0,2,2,0.0,388.640625,-8600.638552210527,4014.9066031112575,-4300.319276105263,-4300.319276105263,2007.4533015556287,2007.4533015556287,194.3203125,2,41,112,-239.9279590200025,
6,20013,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,4,3.0,39062.584680366475,14341.362215744608,22254.979541762827,0.16666666666666663,0.307199334047944,0.05119988900799066,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-176.45275960995826,
7,20014,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,3,4.0,58010.80053903153,29701.618833275414,51160.84413427438,0.08333333333333337,0.2068580314096168,0.017238169284134734,3,3,0.0,232.06640625,-18436.01299843419,2546.6863886906663,-6145.33766614473,-6145.33766614473,848.8954628968887,848.8954628968887,77.35546875,3,42,84,-284.5921278656221,
8,20015,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,8,1.5,45172.54924653008,7418.120771055165,14324.052943697046,0.5833333333333333,0.26564805839293604,0.15496136739587935,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-206.16328653962273,
9,20016,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,44983.87315889897,9269.849954550577,16171.28010233083,0.75,0.26676226739328895,0.20007170054496673,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-216.48420940705844,
10,20017,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,8,1.5,42225.26469057795,8469.682489005148,15832.10330378717,0.8333333333333334,0.2841900480182817,0.23682504001523474,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-205.2304905000534,
11,20018,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,34326.23951960527,9087.536350260096,18190.633210057076,0.75,0.3495867933085492,0.26219009498141194,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-191.93703184172364,
12,20019,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,6,2.0,45435.267885651614,9569.04017223473,21302.425823541515,0.41666666666666663,0.2641120116249954,0.11004667151041476,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-225.28272167141313,
13,20020,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,40815.25987673322,8137.545502614208,13975.113123799867,0.8333333333333334,0.2940076833086787,0.24500640275723226,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-190.97919237110727,
14,20021,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,6,2.0,51680.76611568465,13257.627847900047,22069.59529346602,0.5,0.23219470030956268,0.11609735015478134,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-249.24301347228703,
15,20022,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,5,2.4,47821.985419817705,14207.32405981364,26541.233320787796,0.0,0.25093061056865135,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-205.99769109768198,
16,20023,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,3,4.0,56216.62657354817,31175.76809822198,48652.74031433314,0.08333333333333337,0.2134599802835983,0.017788331690299856,3,3,0.0,303.3984375,-36906.24101441959,3510.1326001568304,-12302.080338139864,-12302.080338139864,1170.044200052277,1170.044200052277,101.1328125,3,45,84,-304.2347325397826,
17,20024,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,4,3.0,42541.692142579326,17776.854970819626,27867.566712587814,0.16666666666666663,0.2820762267702413,0.04701270446170688,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-221.07016038810025,
18,20025,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,5,2.4,64709.483334986806,18288.15519721901,40921.156951147066,0.0,0.18544422519769835,0.0,1,1,0.0,156.462890625,-8788.087387804531,605.525496400496,-8788.087387804531,-8788.087387804531,605.525496400496,605.525496400496,156.462890625,1,23,140,-259.2540591577295,
19,20026,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,8,1.5,50623.18610549813,7259.508954317401,15705.557234702734,0.6666666666666667,0.23704553038191117,0.1580303535879408,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-231.2333570069939,
20,20027,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,5,2.4,43011.819516049225,14731.489753893895,32366.195707136118,0.5833333333333333,0.2789930799259115,0.16274596329011504,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-204.44684081944197,
21,20028,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,8,1.5,49383.214946839595,7608.027217700779,13725.302111304929,0.6666666666666667,0.24299754507514038,0.1619983633834269,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-254.64707409631606,
22,20029,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,5,2.4,57865.91557720057,17273.913534904616,36576.326872079844,0.25,0.20737596355820997,0.051843990889552494,1,1,0.0,132.703125,-8620.67693335304,213.5098360346381,-8620.67693335304,-8620.67693335304,213.5098360346381,213.5098360346381,132.703125,1,19,140,-263.6235290584654,
23,20030,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,6,2.0,42140.38785058755,10649.380757979656,17715.15734405547,0.5,0.28476244790501354,0.14238122395250677,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-203.00287745454716,
24,20031,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,32280.716185299298,7269.949757436083,13017.94792975669,0.5833333333333333,0.37173896425088687,0.21684772914635067,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-195.81594677934848,
25,20032,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,43945.71943066323,7043.499179627743,13486.168796623966,0.5833333333333333,0.2730641381109572,0.15928741389805837,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-221.39168596141525,
26,20033,0.4,full,0.0,walking,oracle_replan,0.2,12,0,1.0,5,2.4,75933.74373381259,28725.159331447594,58958.59839542424,0.16666666666666663,0.1580325084729954,0.0263387514121659,4,4,0.25,531.0234375,-25178.816571513657,6707.677974822395,-6294.704142878414,-6294.704142878414,1676.9194937055988,1676.9194937055988,132.755859375,4,75,140,-354.66400288930856,
