episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,56444.26586637169,8522.22965404514,11469.974384384137,0.5,0.21259909781463468,0.10629954890731734,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-282.5250875218287,
1,20008,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,22077.553482406867,3707.8732749404903,6828.537473070022,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-134.19372704743,
2,20009,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,4,3.0,37045.57707019312,14792.72615742687,23742.343241344504,0.16666666666666663,0.3239253090122654,0.053987551502044234,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-171.72449894867603,
3,20010,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,5,2.4,46997.85956864382,16843.107115562863,27652.13434482765,0.6666666666666667,0.25533077697874984,0.17022051798583324,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-211.89242121194195,
4,20011,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,5,2.4,45873.33020300935,12345.972946328437,18585.230312924417,0.5833333333333333,0.26158990304158874,0.15259411010759344,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-207.18047052136603,
5,20012,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,6,2.0,33324.72653024151,8633.524251831534,14529.565726710267,0.25,0.3600929774805577,0.09002324437013942,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-170.61026110720442,
6,20013,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,4,3.0,41393.80973404544,16181.022207545511,24586.204595441788,0.16666666666666663,0.2898984190413931,0.04831640317356551,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-181.39654867897627,
7,20014,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,4,3.0,48148.677237122094,17016.178502819337,35270.83483085037,0.41666666666666663,0.24922803052101572,0.10384501271708989,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-211.42291759966005,
8,20015,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,45172.54924653008,7418.120771055165,14324.052943697046,0.5833333333333333,0.26564805839293604,0.15496136739587935,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-201.50670695981745,
9,20016,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,4,3.0,47820.91590861178,16532.610379331312,25766.456965892856,0.41666666666666663,0.25093622261297993,0.10455675942207497,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-215.55192545588835,
10,20017,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,42225.26469057795,8469.682489005148,15832.10330378717,0.8333333333333334,0.2841900480182817,0.23682504001523474,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-200.19489189045203,
11,20018,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,40269.0367696241,11954.82105316883,24089.24052208289,0.5,0.29799570495443006,0.14899785247721503,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-226.66509249878393,
12,20019,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,6,2.0,47217.274013104616,10754.908197795823,23100.78657987434,0.5,0.254144277720682,0.127072138860341,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-248.9948682736873,
13,20020,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,47961.59345424428,10393.900486395325,18736.71772424972,0.5833333333333333,0.25020019427519835,0.14595011332719904,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-211.17801126741233,
14,20021,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,4,3.0,48186.13910829366,12870.845995001606,25443.16772967246,0.6666666666666667,0.24903427047830431,0.1660228469855362,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-201.57093164672432,
15,20022,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,35740.92614781268,6374.773576846393,12824.71089686791,0.41666666666666663,0.3357495536173841,0.13989564734057672,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-163.76151802610818,
16,20023,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,4,3.0,39104.62016305611,12536.647714841356,23407.910619979943,0.5,0.30686911034970077,0.15343455517485038,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-157.68257693634516,
17,20024,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,4,3.0,54075.699398431294,24153.40714446465,42710.55752149127,0.08333333333333337,0.2219111381543798,0.018492594846198317,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-265.24460617519355,
18,20025,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,40596.998337378296,8979.476150329687,18011.582288266894,0.5,0.295588356071917,0.1477941780359585,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-193.77819787005097,
19,20026,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,56972.83059139099,9862.284313059652,21258.31025745221,0.5833333333333333,0.2106267123370431,0.12286558219660847,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-258.3735223988379,
20,20027,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,5,2.4,43011.819516049225,14731.489753893895,32366.195707136118,0.5833333333333333,0.2789930799259115,0.16274596329011504,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-201.6161741911194,
21,20028,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,49383.214946839595,7608.027217700779,13725.302111304929,0.6666666666666667,0.24299754507514038,0.1619983633834269,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-249.89058820840555,
22,20029,0.4,node_dp,0.0,stationary,stateful_keep,0.2,12,0,1.0,5,2.4,40554.84322963942,10320.285952840872,18951.91086967744,0.5833333333333333,0.2958956081287432,0.17260577140843356,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-177.48980398030105,
