episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,stationary,keep,0.1,12,0,1.0,12,1.0,47935.05016153705,1571.1401561370149,2982.465135991883,0.9166666666666666,0.25033873876341045,0.22947717719979294,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-123.8026246167601,
1,20008,0.4,full,stationary,keep,0.1,12,0,1.0,6,2.0,18505.378421061705,3471.1254361786173,6192.980972587769,0.41666666666666663,0.6484601247787682,0.2701917186578201,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,-93.07362846702594,
2,20009,0.4,full,stationary,keep,0.1,12,0,1.0,10,1.2,24178.147459153686,2043.7639935423083,3480.0255727165486,0.6666666666666667,0.49631594067629364,0.3308772937841958,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-120.75568903751932,
3,20010,0.4,full,stationary,keep,0.1,12,0,1.0,12,1.0,25226.461758361896,1880.5337907991882,3078.5643319906994,0.8333333333333334,0.47569096748268,0.3964091395689,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-128.0122492397809,
4,20011,0.4,full,stationary,keep,0.1,12,0,1.0,12,1.0,28882.516207745433,1735.8636186223148,3982.4684468833057,0.8333333333333334,0.41547626646122876,0.346230222051024,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-135.7018741547634,
5,20012,0.4,full,stationary,keep,0.1,12,0,1.0,8,1.5,24196.81717362427,3449.916849884455,8357.455982106736,0.5833333333333333,0.49593299457089735,0.28929424683302346,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-129.184958672229,
6,20013,0.4,full,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,20810.514293737215,2187.663927391953,3654.562743945959,0.33333333333333337,0.5766315925989066,0.19221053086630221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-108.00880486834777,
7,20014,0.4,full,stationary,keep,0.1,12,0,1.0,8,1.5,20753.501651135386,2952.2647458802203,5622.0001230317,0.41666666666666663,0.5782156766467167,0.24092319860279862,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-145.27116068653393,
8,20015,0.4,full,stationary,keep,0.1,12,0,1.0,10,1.2,30475.805760201172,2069.309941799748,3205.3935485707507,0.5833333333333333,0.39375497056327174,0.22969039949524184,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-131.1922127124276,
9,20016,0.4,full,stationary,keep,0.1,12,0,1.0,10,1.2,32493.384695792014,2471.8502201359315,5141.782118175346,0.6666666666666667,0.3693059406505606,0.24620396043370704,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-129.92012292157577,
10,20017,0.4,full,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,36314.791250313036,1556.0963716358847,3199.2376698063617,0.8333333333333334,0.33044386562174055,0.2753698880181171,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-98.37597196592729,
11,20018,0.4,full,stationary,keep,0.1,12,0,1.0,10,1.2,22102.67885187029,2092.8398237803485,3525.1225137193383,0.5833333333333333,0.5429206152078974,0.3167036922046068,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-122.75860542067008,
12,20019,0.4,full,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,29315.7810062462,2424.711069239855,3366.0577933391137,0.5833333333333333,0.4093358453402011,0.2387792431151173,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-123.06071744049012,
13,20020,0.4,full,stationary,keep,0.1,12,0,1.0,12,1.0,53315.762296566514,5043.422421741814,18112.330235702815,0.16666666666666663,0.2250741522413305,0.03751235870688842,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-259.6951259170829,
14,20021,0.4,full,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,33497.81370848909,2382.265301028619,3568.510201558246,0.5833333333333333,0.3582323343376566,0.20896886169696635,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-115.18618143568094,
15,20022,0.4,full,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,32069.76705499352,4710.837797918514,10481.670535083262,0.33333333333333337,0.3741841959569676,0.12472806531898921,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-143.93181209418003,
16,20023,0.4,full,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,17001.768139900058,2878.184470851155,6382.593144527167,0.41666666666666663,0.7058089430027094,0.29408705958446224,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-98.68706848390386,
17,20024,0.4,full,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,27824.617635961633,5915.253367982157,11933.455744400073,0.6666666666666667,0.43127277280140325,0.28751518186760217,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-151.07669563895652,
18,20025,0.4,full,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,27368.880161464156,3474.6911144773408,5974.692498732421,0.33333333333333337,0.43845418333542935,0.1461513944451431,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-166.44275625816186,
19,20026,0.4,full,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,43866.44734462129,3846.2502437470316,12545.488581943091,0.6666666666666667,0.27355759872064017,0.18237173248042676,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-183.79638643355014,
