episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,9,1.3333333333333333,56446.26586637169,6774.091481376146,11177.882402813277,0.75,0.21259156501881368,0.15944367376411026,6,5,1.0,970.265625,12.0,12.0,2.0,2.4,2.0,2.4,161.7109375,252,-290.54087419592645,
1,20008,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,8,1.5,22077.553482406867,3705.5672857579652,6815.185131484387,0.41666666666666663,0.5435384862531324,0.22647436927213851,1,1,1.0,38.71875,2.0,2.0,2.0,2.0,2.0,2.0,38.71875,224,-154.20536769647845,
2,20009,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,5,2.4,39096.609941071176,10650.96113093108,20488.470544869862,0.33333333333333337,0.3069319825449608,0.10231066084832027,9,8,0.5,1252.6171875,1499.2893633694748,1499.2893633694748,166.58770704105277,187.41117042118435,166.58770704105277,187.41117042118435,139.1796875,140,-169.19541727652765,
3,20010,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,5,2.4,49778.698200465136,17486.531433636545,29878.17075197435,0.6666666666666667,0.24106697109021366,0.16071131406014244,14,8,0.75,2936.2265625,6205.778325898553,6205.778325898553,443.2698804213252,775.7222907373191,443.2698804213252,775.7222907373191,209.73046875,140,-226.90550731664717,
4,20011,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,5,2.4,43556.542010707526,13044.786891675163,20767.286351112005,0.5833333333333333,0.27550396441136293,0.16071064590662837,13,10,0.6,2643.2109375,3668.8799092112786,3668.8799092112786,282.2215314777907,366.8879909211279,282.2215314777907,366.8879909211279,203.32391826923077,140,-208.16155563867386,
5,20012,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,6,2.0,35250.477587472444,8726.891238648112,15438.98868312361,0.25,0.3404209196945644,0.0851052299236411,5,5,0.4,1121.6953125,2072.6649784600113,2072.6649784600113,414.53299569200226,414.53299569200226,414.53299569200226,414.53299569200226,224.3390625,168,-185.1080987888073,
6,20013,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,4,3.0,38272.55650325569,14333.771479896239,21695.235180132597,0.16666666666666663,0.31354059138900764,0.05225676523150127,8,7,0.2857142857142857,1288.546875,2924.8333141918883,2924.8333141918883,365.60416427398604,417.8333305988412,365.60416427398604,417.8333305988412,161.068359375,112,-183.4651863089527,
7,20014,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,5,2.4,38867.14804018286,12268.454093986735,25165.083064817438,0.5,0.30874403204458895,0.15437201602229447,6,4,0.75,1107.09375,2078.101115378622,2078.101115378622,346.35018589643704,519.5252788446555,346.35018589643704,519.5252788446555,184.515625,140,-188.85855450904572,
8,20015,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,8,1.5,46622.71255269859,7548.6582779179325,15002.042543835825,0.5833333333333333,0.2573852816143239,0.15014141427502226,7,5,0.6,1328.4140625,14.0,14.0,2.0,2.8,2.0,2.8,189.7734375,224,-227.51138257781574,
9,20016,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,7,1.7142857142857142,48876.42476959183,10646.021912889386,19106.194584278674,0.75,0.2455171395323851,0.18413785464928883,8,6,0.8333333333333334,1455.890625,1746.3182079943972,1746.3182079943972,218.28977599929965,291.05303466573287,218.28977599929965,291.05303466573287,181.986328125,196,-239.3484543234164,
10,20017,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,8,1.5,45598.893726803646,9714.303380630807,18578.93934808296,0.75,0.2631642792014982,0.19737320940112366,10,8,0.75,1834.21875,6138.082630345132,6138.082630345132,613.8082630345132,767.2603287931415,613.8082630345132,767.2603287931415,183.421875,224,-231.8352292752695,
11,20018,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,7,1.7142857142857142,34279.31202747002,9035.800873023765,17885.309354163808,0.75,0.3500653685926864,0.2625490264445148,9,6,0.6666666666666666,1721.015625,669.327721719049,669.327721719049,74.36974685767211,111.55462028650817,74.36974685767211,111.55462028650817,191.22395833333334,196,-208.04591212188896,
12,20019,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,6,2.0,45545.12922555119,9626.979872651844,21437.9310148031,0.41666666666666663,0.2634749358284377,0.10978122326184903,9,5,0.6,1514.7890625,78.59263386351267,78.59263386351267,8.73251487372363,15.718526772702536,8.73251487372363,15.718526772702536,168.30989583333334,168,-239.87435422728296,
13,20020,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,7,1.7142857142857142,46053.49135421455,10363.232335737825,17176.000265768027,0.75,0.26056656394850786,0.1954249229613809,8,5,1.0,1741.359375,4798.973146719782,4798.973146719782,599.8716433399727,959.7946293439563,599.8716433399727,959.7946293439563,217.669921875,196,-208.5205260620372,
14,20021,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,6,2.0,53802.63073284509,14066.261809408608,23695.262599907008,0.5,0.22303742096897716,0.11151871048448858,7,6,0.8333333333333334,1374.0234375,14.0,14.0,2.0,2.3333333333333335,2.0,2.3333333333333335,196.2890625,168,-267.09538994458364,
15,20022,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,8,1.5,34657.782866973175,6155.689503946607,11623.551513600025,0.5,0.34624257547170717,0.17312128773585359,3,3,0.3333333333333333,685.78125,1465.2326666973033,1465.2326666973033,488.4108888991011,488.4108888991011,488.4108888991011,488.4108888991011,228.59375,224,-174.39596780789975,
16,20023,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,4,3.0,38096.912495290526,12583.068264911306,23019.717648161928,0.5,0.3149861554130776,0.1574930777065388,10,7,0.7142857142857143,1738.5703125,1398.1309733333858,1398.1309733333858,139.8130973333386,199.73299619048368,139.8130973333386,199.73299619048368,173.85703125,112,-165.488645360287,
17,20024,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,4,3.0,45264.473999859656,18953.523483676076,28894.25465464777,0.16666666666666663,0.2651085705765013,0.04418476176275021,13,9,0.2222222222222222,2154.46875,2161.8070600333394,2161.8070600333394,166.29285077179534,240.20078444814882,166.29285077179534,240.20078444814882,165.7283653846154,112,-231.0749032149585,
18,20025,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,8,1.5,40102.37573196449,8902.36900361858,17569.78219754597,0.5,0.2992341421417369,0.14961707107086844,4,3,0.6666666666666666,774.375,265.35257524981944,265.35257524981944,66.33814381245486,88.45085841660648,66.33814381245486,88.45085841660648,193.59375,224,-214.74741795976595,
19,20026,0.4,full,0.0,high_speed,prefetch,0.0,12,0,1.0,8,1.5,49584.19523451716,7236.448517337002,15241.311342761297,0.6666666666666667,0.242012599846461,0.161341733230974,7,6,0.8333333333333334,1585.9921875,697.6612094508016,697.6612094508016,99.66588706440022,116.27686824180027,99.66588706440022,116.27686824180027,226.5703125,224,-243.18703671914423,
